аз аза
баш баш
беларуский беларуская
буряад буряад
български български
вашла вашла
збекча збекча
ик ик
коми коми
кыргызча кыргызча
македонский македонски
марья марий
монгол монгол
нохчийн нохчийн
нськ нська
олык олык
ортс ортса
русиньскый русиньскый
русский русский
саха саха
српский српски
српскохрватски српскохрватски
тарашкев тарашкев
татарч татарча
тыл тыла
укр укра
ца ца
ша ша
