аз аза
баш баш
беларуский беларуская
български български
збекча збекча
ик ик
кыргызча кыргызча
македонский македонски
марья марий
монгол монгол
нськ нська
олык олык
ортс ортса
русиньскый русиньскый
русский русский
саха саха
српский српски
српскохрватски српскохрватски
тарашкев тарашкев
татарч татарча
тыл тыла
укр укра
ца ца
ша ша
