аз аза
баш баш
беларуский беларуская
буряад буряад
български български
вашла вашла
дыл дыл
збекча збекча
ик ик
кыргызча кыргызча
лакка лакку
македонский македонски
монгол монгол
нохчийн нохчийн
нськ нська
ортс ортса
русиньскый русиньскый
русский русский
саха саха
српский српски
српскохрватски српскохрватски
тарашкев тарашкев
татарч татарча
тыва тыва
тыл тыла
укр укра
ца ца
ша ша
