аз аза
беларуский беларуская
български български
збекча збекча
кыргызча кыргызча
македонский македонски
марья марий
мокшень мокшень
монгол монгол
нохчийн нохчийн
нськ нська
олык олык
русский русский
саха саха
српский српски
српскохрватски српскохрватски
тарашкев тарашкев
тыл тыла
укр укра
ца ца
ша ша
