аз аза
баш баш
беларуский беларуская
български български
вашла вашла
збекча збекча
ик ик
кыргызча кыргызча
македонский македонски
марья марий
монгол монгол
нохчийн нохчийн
нськ нська
олык олык
ортс ортса
русиньскый русиньскый
русский русский
српский српски
српскохрватски српскохрватски
тарашкев тарашкев
укр укра
ца ца
ша ша
