аз аза
баш баш
беларуский беларуская
буряад буряад
български български
вашла вашла
збекча збекча
ик ик
ирон ирон
коми коми
кыргызча кыргызча
лезги лезги
македонский македонски
марья марий
мокшень мокшень
монгол монгол
нохчийн нохчийн
нськ нська
ньскъ ньскъ
олык олык
ортс ортса
русиньскый русиньскый
русский русский
саха саха
слово слов
српский српски
српскохрватски српскохрватски
тарашкев тарашкев
татарч татарча
тыл тыла
укр укра
ца ца
ша ша
эрзянь эрзянь
